tempOrder,ItemId,tempName,tempSlot,tempRating,tempColor,tempRole,tempClass,tempItemModSlot,tempKey,ItemModId,tempItemModName,tempDynamicSlot,tempModColor
2,8,Eternal Commander MK-1 Combat Medic's Body Armor,chest,228,green,healer,merc,armoring,228greenarmoring,3,Versatile Armoring 54,,green
3,15,Eternal Commander MK-1 Combat Tech's Body Armor,chest,228,green,dps,pt,armoring,228greenarmoring,3,Versatile Armoring 54,,green
4,25,Eternal Commander MK-1 Eliminator's Body Armor,chest,228,green,dps,merc,armoring,228greenarmoring,3,Versatile Armoring 54,,green
5,38,Eternal Commander MK-1 Enforcer's Jacket,chest,228,green,dps,op,armoring,228greenarmoring,3,Versatile Armoring 54,,green
6,45,Eternal Commander MK-1 Field Medic's Jacket,chest,228,green,healer,op,armoring,228greenarmoring,3,Versatile Armoring 54,,green
7,52,Eternal Commander MK-1 Field Tech's Jacket,chest,228,green,dps,sniper,armoring,228greenarmoring,3,Versatile Armoring 54,,green
8,65,Eternal Commander MK-1 Force-Master's Robe,chest,228,green,dps,sorc,armoring,228greenarmoring,3,Versatile Armoring 54,,green
9,72,Eternal Commander MK-1 Force-Mystic's Robe,chest,228,green,healer,sorc,armoring,228greenarmoring,3,Versatile Armoring 54,,green
10,94,Eternal Commander MK-1 Stalker's Robe,chest,228,green,dps,sin,armoring,228greenarmoring,3,Versatile Armoring 54,,green
11,99,Eternal Commander MK-1 Supercommando's Body Armor,chest,228,green,tank,pt,armoring,228greenarmoring,2,Resistive Armoring 54,,green
12,112,Eternal Commander MK-1 Survivor's Robe,chest,228,green,tank,sin,armoring,228greenarmoring,2,Resistive Armoring 54,,green
13,117,Eternal Commander MK-1 Vindicator's Chestguard,chest,228,green,dps,jugg,armoring,228greenarmoring,3,Versatile Armoring 54,,green
14,124,Eternal Commander MK-1 War Leader's Chestguard,chest,228,green,tank,jugg,armoring,228greenarmoring,2,Resistive Armoring 54,,green
15,133,Eternal Commander MK-1 Weaponmaster's Chestguard,chest,228,green,dps,mara,armoring,228greenarmoring,3,Versatile Armoring 54,,green
16,145,Eternal Commander MK-11 Combat Medic's Body Armor,chest,232,green,healer,merc,armoring,232greenarmoring,9,Versatile Armoring 56,,green
17,152,Eternal Commander MK-11 Combat Tech's Body Armor,chest,232,green,dps,pt,armoring,232greenarmoring,9,Versatile Armoring 56,,green
18,162,Eternal Commander MK-11 Eliminator's Body Armor,chest,232,green,dps,merc,armoring,232greenarmoring,9,Versatile Armoring 56,,green
19,175,Eternal Commander MK-11 Enforcer's Jacket,chest,232,green,dps,op,armoring,232greenarmoring,9,Versatile Armoring 56,,green
20,182,Eternal Commander MK-11 Field Medic's Jacket,chest,232,green,healer,op,armoring,232greenarmoring,9,Versatile Armoring 56,,green
21,189,Eternal Commander MK-11 Field Tech's Jacket,chest,232,green,dps,sniper,armoring,232greenarmoring,9,Versatile Armoring 56,,green
22,202,Eternal Commander MK-11 Force-Master's Robe,chest,232,green,dps,sorc,armoring,232greenarmoring,9,Versatile Armoring 56,,green
23,209,Eternal Commander MK-11 Force-Mystic's Robe,chest,232,green,healer,sorc,armoring,232greenarmoring,9,Versatile Armoring 56,,green
24,231,Eternal Commander MK-11 Stalker's Robe,chest,232,green,dps,sin,armoring,232greenarmoring,9,Versatile Armoring 56,,green
25,236,Eternal Commander MK-11 Supercommando's Body Armor,chest,232,green,tank,pt,armoring,232greenarmoring,8,Resistive Armoring 56,,green
26,249,Eternal Commander MK-11 Survivor's Robe,chest,232,green,tank,sin,armoring,232greenarmoring,8,Resistive Armoring 56,,green
27,254,Eternal Commander MK-11 Vindicator's Chestguard,chest,232,green,dps,jugg,armoring,232greenarmoring,9,Versatile Armoring 56,,green
28,261,Eternal Commander MK-11 War Leader's Chestguard,chest,232,green,tank,jugg,armoring,232greenarmoring,8,Resistive Armoring 56,,green
29,270,Eternal Commander MK-11 Weaponmaster's Chestguard,chest,232,green,dps,mara,armoring,232greenarmoring,9,Versatile Armoring 56,,green
30,282,Eternal Commander MK-12 Combat Medic's Body Armor,chest,234,blue,healer,merc,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
31,289,Eternal Commander MK-12 Combat Tech's Body Armor,chest,234,blue,dps,pt,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
32,299,Eternal Commander MK-12 Eliminator's Body Armor,chest,234,blue,dps,merc,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
33,312,Eternal Commander MK-12 Enforcer's Jacket,chest,234,blue,dps,op,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
34,319,Eternal Commander MK-12 Field Medic's Jacket,chest,234,blue,healer,op,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
35,326,Eternal Commander MK-12 Field Tech's Jacket,chest,234,blue,dps,sniper,armoring,234bluearmoring,11,Versatile Armoring 52,,blue
