tempName,tempRole,tempClass,tempKey,ItemId,Spec
Eternal Commander MK-1 Combat Medic's Body Armor,healer,merc,healermerc,8,mercHealer
Eternal Commander MK-1 Combat Tech's Body Armor,dps,pt,dpspt,15,ptSust
Eternal Commander MK-1 Eliminator's Body Armor,dps,merc,dpsmerc,25,mercBurst
Eternal Commander MK-1 Enforcer's Jacket,dps,op,dpsop,38,opBurst
Eternal Commander MK-1 Field Medic's Jacket,healer,op,healerop,45,opHealer
Eternal Commander MK-1 Field Tech's Jacket,dps,sniper,dpssniper,52,sniperBurst
Eternal Commander MK-1 Force-Master's Robe,dps,sorc,dpssorc,65,sorcBurst
Eternal Commander MK-1 Force-Mystic's Robe,healer,sorc,healersorc,72,sorcHealer
Eternal Commander MK-1 Stalker's Robe,dps,sin,dpssin,94,sinBurst
Eternal Commander MK-1 Supercommando's Body Armor,tank,pt,tankpt,99,ptTank
Eternal Commander MK-1 Survivor's Robe,tank,sin,tanksin,112,sinTank
Eternal Commander MK-1 Vindicator's Chestguard,dps,jugg,dpsjugg,117,juggSust
Eternal Commander MK-1 War Leader's Chestguard,tank,jugg,tankjugg,124,juggTank
Eternal Commander MK-1 Weaponmaster's Chestguard,dps,mara,dpsmara,133,maraSust
Eternal Commander MK-11 Combat Medic's Body Armor,healer,merc,healermerc,145,mercHealer
Eternal Commander MK-11 Combat Tech's Body Armor,dps,pt,dpspt,152,ptSust
Eternal Commander MK-11 Eliminator's Body Armor,dps,merc,dpsmerc,162,mercBurst
Eternal Commander MK-11 Enforcer's Jacket,dps,op,dpsop,175,opBurst
Eternal Commander MK-11 Field Medic's Jacket,healer,op,healerop,182,opHealer
Eternal Commander MK-11 Field Tech's Jacket,dps,sniper,dpssniper,189,sniperBurst
Eternal Commander MK-11 Force-Master's Robe,dps,sorc,dpssorc,202,sorcBurst
Eternal Commander MK-11 Force-Mystic's Robe,healer,sorc,healersorc,209,sorcHealer
Eternal Commander MK-11 Stalker's Robe,dps,sin,dpssin,231,sinBurst
Eternal Commander MK-11 Supercommando's Body Armor,tank,pt,tankpt,236,ptTank
Eternal Commander MK-11 Survivor's Robe,tank,sin,tanksin,249,sinTank
Eternal Commander MK-11 Vindicator's Chestguard,dps,jugg,dpsjugg,254,juggSust
Eternal Commander MK-11 War Leader's Chestguard,tank,jugg,tankjugg,261,juggTank
Eternal Commander MK-11 Weaponmaster's Chestguard,dps,mara,dpsmara,270,maraSust
Eternal Commander MK-12 Combat Medic's Body Armor,healer,merc,healermerc,282,mercHealer
Eternal Commander MK-12 Combat Tech's Body Armor,dps,pt,dpspt,289,ptSust
Eternal Commander MK-12 Eliminator's Body Armor,dps,merc,dpsmerc,299,mercBurst
Eternal Commander MK-12 Enforcer's Jacket,dps,op,dpsop,312,opBurst
Eternal Commander MK-12 Field Medic's Jacket,healer,op,healerop,319,opHealer
Eternal Commander MK-12 Field Tech's Jacket,dps,sniper,dpssniper,326,sniperBurst
Eternal Commander MK-12 Force-Master's Robe,dps,sorc,dpssorc,339,sorcBurst
Eternal Commander MK-12 Force-Mystic's Robe,healer,sorc,healersorc,346,sorcHealer
Eternal Commander MK-12 Stalker's Robe,dps,sin,dpssin,368,sinBurst
Eternal Commander MK-12 Supercommando's Body Armor,tank,pt,tankpt,373,ptTank
Eternal Commander MK-12 Survivor's Robe,tank,sin,tanksin,386,sinTank
Eternal Commander MK-12 Vindicator's Chestguard,dps,jugg,dpsjugg,391,juggSust
Eternal Commander MK-12 War Leader's Chestguard,tank,jugg,tankjugg,398,juggTank
Eternal Commander MK-12 Weaponmaster's Chestguard,dps,mara,dpsmara,407,maraSust
Eternal Commander MK-13 Combat Medic's Body Armor,healer,merc,healermerc,419,mercHealer
Eternal Commander MK-13 Combat Tech's Body Armor,dps,pt,dpspt,426,ptSust
Eternal Commander MK-13 Eliminator's Body Armor,dps,merc,dpsmerc,436,mercBurst
Eternal Commander MK-13 Enforcer's Jacket,dps,op,dpsop,449,opBurst
Eternal Commander MK-13 Field Medic's Jacket,healer,op,healerop,456,opHealer
Eternal Commander MK-13 Field Tech's Jacket,dps,sniper,dpssniper,463,sniperBurst
Eternal Commander MK-13 Force-Master's Robe,dps,sorc,dpssorc,476,sorcBurst
Eternal Commander MK-13 Force-Mystic's Robe,healer,sorc,healersorc,483,sorcHealer
Eternal Commander MK-13 Stalker's Robe,dps,sin,dpssin,505,sinBurst
Eternal Commander MK-13 Supercommando's Body Armor,tank,pt,tankpt,510,ptTank
Eternal Commander MK-13 Survivor's Robe,tank,sin,tanksin,523,sinTank
Eternal Commander MK-13 Vindicator's Chestguard,dps,jugg,dpsjugg,528,juggSust
Eternal Commander MK-13 War Leader's Chestguard,tank,jugg,tankjugg,535,juggTank
Eternal Commander MK-13 Weaponmaster's Chestguard,dps,mara,dpsmara,544,maraSust
Eternal Commander MK-15 Combat Medic's Body Armor,healer,merc,healermerc,556,mercHealer
Eternal Commander MK-15 Combat Tech's Body Armor,dps,pt,dpspt,563,ptSust
