ItemId,Name,tempIdDuplicate,Slot,Rating,Color,DynamicSlot,Description,Disabled,Image,Type,SetId
1,Eternal Commander MK-1 Adept Device,1,ear,228,green,,,0,ear_adept.png,earpiece,
2,Eternal Commander MK-1 Adept Package,2,implant,228,green,,,0,implant_adept.png,implant,
3,Eternal Commander MK-1 Bastion Device,3,ear,228,green,,,0,ear_bastion.png,earpiece,
4,Eternal Commander MK-1 Bastion Package,4,implant,228,green,,,0,implant_bastion.png,implant,
5,Eternal Commander MK-1 Bulwark Device,5,ear,228,green,,,0,ear_bulwark.png,earpiece,
6,Eternal Commander MK-1 Bulwark Package,6,implant,228,green,,,0,implant_bulwark.png,implant,
7,Eternal Commander MK-1 Combat Medic's Belt,7,waist,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Combat Medic's Critical Bonus which causes your next Rapid Scan or Medical Probe to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) The duration of Supercharged Gas or Supercharged Cell is increased by 4 seconds.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Healing Scan or Advanced Medical Probe by 1.5 seconds.</span>,0,waist_stalker.png,armor,
8,Eternal Commander MK-1 Combat Medic's Body Armor,8,chest,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Combat Medic's Critical Bonus which causes your next Rapid Scan or Medical Probe to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) The duration of Supercharged Gas or Supercharged Cell is increased by 4 seconds.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Healing Scan or Advanced Medical Probe by 1.5 seconds.</span>,0,chest_stalker.png,armor,
9,Eternal Commander MK-1 Combat Medic's Boots,9,feet,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Combat Medic's Critical Bonus which causes your next Rapid Scan or Medical Probe to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) The duration of Supercharged Gas or Supercharged Cell is increased by 4 seconds.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Healing Scan or Advanced Medical Probe by 1.5 seconds.</span>,0,feet_stalker.png,armor,
10,Eternal Commander MK-1 Combat Medic's Gauntlets,10,hands,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Combat Medic's Critical Bonus which causes your next Rapid Scan or Medical Probe to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) The duration of Supercharged Gas or Supercharged Cell is increased by 4 seconds.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Healing Scan or Advanced Medical Probe by 1.5 seconds.</span>,0,hands_stalker.png,armor,
